Data;Abertura;Máxima;Mínima;Fechamento
28/02/2025 17:05;86,88;86,9;86,62;86,73
28/02/2025 16:00;86,76;86,8;86,62;86,65
28/02/2025 15:30;86,95;86,98;86,65;86,76
28/02/2025 15:00;86,92;87,19;86,9;86,96
28/02/2025 14:30;87,03;87,1;86,9;86,93
28/02/2025 14:00;86,9;87,11;86,87;87,05
28/02/2025 13:30;86,88;86,93;86,8;86,9
28/02/2025 13:00;87;87,04;86,81;86,9
28/02/2025 12:30;87,03;87,05;86,96;87
28/02/2025 12:00;87;87,1;86,86;87,02
28/02/2025 11:30;87,09;87,1;86,98;87,03
28/02/2025 11:00;87,12;87,15;87;87,1
28/02/2025 10:30;87,21;87,23;87,07;87,1
28/02/2025 10:00;87,07;87,22;87,07;87,2
28/02/2025 09:30;87,12;87,15;86,97;87,07
28/02/2025 09:00;87,01;87,25;86,93;87,11
27/02/2025 17:05;86,95;87;86,62;86,8
27/02/2025 16:00;86,92;86,99;86,75;86,75
27/02/2025 15:30;87,03;87,1;86,89;86,92
27/02/2025 15:00;86,42;87,04;86,42;87
27/02/2025 14:30;86,32;86,45;86,22;86,45
27/02/2025 14:00;86,18;86,57;86,15;86,32
27/02/2025 13:30;86,28;86,29;86,11;86,16
27/02/2025 13:00;86,11;86,3;86,1;86,29
27/02/2025 12:30;86,03;86,14;86,02;86,11
27/02/2025 12:00;86,12;86,18;86,02;86,07
27/02/2025 11:30;86,1;86,13;86,05;86,12
27/02/2025 11:00;86,2;86,26;86,01;86,11
27/02/2025 10:30;86,04;86,23;86;86,21
27/02/2025 10:00;86,06;86,28;85,9;86,09
27/02/2025 09:30;86,39;86,51;85,5;86,09
27/02/2025 09:00;86,65;86,65;86,34;86,38
26/02/2025 17:05;86,54;86,58;86,15;86,15
26/02/2025 16:00;86,42;86,46;86,23;86,4
26/02/2025 15:30;86,77;86,81;86,3;86,42
26/02/2025 15:00;86,72;86,9;86,7;86,79
26/02/2025 14:30;86,62;86,78;86,62;86,71
26/02/2025 14:00;86,6;86,7;86,55;86,61
26/02/2025 13:30;86,42;86,6;86,38;86,6
26/02/2025 13:00;86,42;86,49;86,3;86,45
26/02/2025 12:30;86,38;86,49;86,34;86,41
26/02/2025 12:00;86,47;86,49;86,34;86,38
26/02/2025 11:30;86,47;86,49;86,28;86,46
26/02/2025 11:00;86,51;86,58;86,35;86,47
26/02/2025 10:30;86,57;86,66;86,41;86,52
26/02/2025 10:00;86,53;86,8;86,33;86,58
26/02/2025 09:30;86,3;86,54;86,15;86,54
26/02/2025 09:00;86,37;86,74;86,2;86,34
25/02/2025 17:05;85,17;85,48;85;85,38
25/02/2025 16:00;84,71;84,85;84,71;84,85
