Data;Abertura;Máxima;Mínima;Fechamento
24/03/2025;79,66;80,07;78,21;78,74
21/03/2025;80,35;81,67;78,91;79,65
20/03/2025;83,29;83,74;80,17;80,36
19/03/2025;84,43;84,8;82,9;83,31
18/03/2025;82,14;84,58;82,14;84,48
17/03/2025;79,62;82,49;79,5;82,01
14/03/2025;79,88;80,45;79,26;79,83
13/03/2025;79,6;80,27;78,83;79,69
12/03/2025;79,44;81,04;79,26;79,5
11/03/2025;80,09;80,24;79,49;79,72
10/03/2025;78,43;80,16;78,35;79,99
07/03/2025;78,87;79,15;77,82;78,32
06/03/2025;78,7;79,48;78,54;78,88
05/03/2025;79,06;79,08;78,25;78,59
28/02/2025;79,13;79,4;78,83;78,86
27/02/2025;78,76;79,26;77,81;78,95
26/02/2025;77,51;79,08;77,35;78,63
25/02/2025;76,13;77,22;76;77,22
24/02/2025;77,41;77,69;75,83;76,17
21/02/2025;75,22;77,75;75,22;77,44
20/02/2025;73,56;75,4;73,53;75,35
19/02/2025;73,58;73,76;72,8;73,53
18/02/2025;73,26;73,9;72,9;73,49
17/02/2025;73,36;74,15;73,15;73,17
14/02/2025;72,59;73,53;72,46;73,42
13/02/2025;71,58;72,79;71,47;72,59
12/02/2025;71,26;71,87;71,1;71,45
11/02/2025;72,12;72,47;71,26;71,26
10/02/2025;71,17;72,29;71,07;72,03
07/02/2025;71,17;71,52;70,87;71,07
06/02/2025;70,97;71,4;69,92;71,05
05/02/2025;69,8;70,97;69,72;70,9
04/02/2025;68,84;69,82;68,77;69,78
03/02/2025;68,72;69,04;68,07;68,84
31/01/2025;69,24;69,41;68,44;68,71
30/01/2025;69,03;69,35;68,72;69,19
29/01/2025;68,1;68,99;68,08;68,91
28/01/2025;68,14;68,69;67,89;68,12
27/01/2025;68,35;68,55;67,71;68,3
24/01/2025;69,46;69,76;68,04;68,39
23/01/2025;69,22;70,07;68,95;69,55
22/01/2025;70,49;70,49;69,07;69,26
21/01/2025;71,21;71,25;70,17;70,49
20/01/2025;69,66;71,23;69,26;71,14
17/01/2025;69,3;70,69;68,7;69,8
16/01/2025;70,96;70,97;69,26;69,33
15/01/2025;72,08;72,14;70,75;70,98
14/01/2025;72,7;72,99;71,63;72,04
13/01/2025;70,94;72,99;70,67;72,73
10/01/2025;69,89;71,07;69,61;70,94
09/01/2025;69,15;69,96;68,83;69,84
08/01/2025;68,84;69,44;68,84;69,19
07/01/2025;69,18;69,36;68,54;68,81
06/01/2025;68;69,15;67,95;69,13
03/01/2025;68,39;68,78;67,9;68,01
02/01/2025;69,13;69,56;68,39;68,49
30/12/2024;68,56;69,18;68,44;68,9
27/12/2024;68,41;68,64;68,15;68,44
26/12/2024;68,71;68,91;68,15;68,43
23/12/2024;68,45;68,99;68,43;68,67
20/12/2024;69,18;69,18;68,35;68,57
19/12/2024;70,11;70,28;68,99;69,13
18/12/2024;69,77;69,92;68,9;69,91
17/12/2024;69,01;70,35;68,97;69,74
16/12/2024;69,58;69,65;68,57;69,18
13/12/2024;70,17;70,49;69,46;69,64
12/12/2024;71,5;71,5;69,7;70,3
11/12/2024;70,9;72,01;69,85;71,47
10/12/2024;69,93;71,07;69,7;70,9
09/12/2024;69,18;70,07;68,65;69,98
06/12/2024;67,75;69,27;67,41;69,13
05/12/2024;66,58;67,69;65,88;67,64
04/12/2024;67,61;67,66;66,43;66,52
03/12/2024;67,9;67,9;67,32;67,59
02/12/2024;67,09;67,86;66,89;67,82
29/11/2024;66,12;67,12;65,68;66,98
28/11/2024;66,17;66,36;64,93;65,97
27/11/2024;65,84;66,83;65,57;66,17
26/11/2024;66,64;67,36;65,51;65,92
25/11/2024;67,41;68,19;66,31;66,67
22/11/2024;67,79;67,92;67,03;67,42
21/11/2024;68,23;68,53;67,46;67,66
19/11/2024;68,93;69,17;68,04;68,23
18/11/2024;69,69;70,12;68,84;68,93
14/11/2024;70,51;71,22;69,56;69,68
13/11/2024;70,74;70,83;70,47;70,63
12/11/2024;70,99;71,06;70,56;70,77
11/11/2024;70,39;71;70,32;70,93
08/11/2024;70,2;70,49;70,09;70,41
07/11/2024;69,1;70,2;69,02;70,08
06/11/2024;68,77;69,31;68,69;69,1
05/11/2024;69,45;69,46;68,64;68,77
04/11/2024;69,72;69,98;69,39;69,48
01/11/2024;69,54;69,92;69,3;69,63
31/10/2024;69,73;69,98;69,13;69,5
30/10/2024;69,79;70,56;69,51;69,72
29/10/2024;68,91;69,95;68,75;69,82
28/10/2024;69,15;69,26;68,41;68,91
25/10/2024;68,81;69,34;68,66;69,15
24/10/2024;68,25;69,08;68,16;68,81
23/10/2024;67,63;68,4;67,34;68,25
22/10/2024;66,87;67,86;66,63;67,62
21/10/2024;66,01;66,89;65,83;66,77
18/10/2024;65,79;66,27;65,67;66,01
17/10/2024;65,3;65,96;65,12;65,79
16/10/2024;65,42;65,86;65,16;65,25
15/10/2024;64,2;65,48;63,92;65,39
14/10/2024;65,28;65,29;64,02;64,23
11/10/2024;65,66;66,04;65,22;65,29
10/10/2024;65,1;65,77;65,02;65,6
09/10/2024;64,68;65,39;64,1;65,05
08/10/2024;63,86;65,15;63,58;64,59
07/10/2024;64,83;65,29;63,73;63,86
04/10/2024;66,34;66,34;64,82;64,83
03/10/2024;66,35;66,63;66,06;66,26
02/10/2024;65,72;66,61;65,72;66,39
01/10/2024;65,66;65,77;65,32;65,77
30/09/2024;65,5;65,74;65,23;65,67
27/09/2024;64,92;65,49;64,57;65,48
26/09/2024;64,58;65,55;64,36;65
25/09/2024;64,96;65,1;64,27;64,57
24/09/2024;64,97;65,04;64,44;65,01
23/09/2024;64,66;65,1;64,34;64,92
20/09/2024;63,79;64,82;63,29;64,67
19/09/2024;63,29;64,02;62,77;63,8
18/09/2024;64,11;64,11;63,11;63,2
17/09/2024;64,29;64,43;63,77;64,1
16/09/2024;64,64;64,71;63,82;64,3
13/09/2024;63,5;64,77;63,48;64,63
12/09/2024;63,86;64,57;63,31;63,58
11/09/2024;64,15;64,88;63,7;63,86
10/09/2024;64,23;65,43;63,86;64,09
09/09/2024;63,02;64,6;63,02;64,3
06/09/2024;62,49;63,6;62,4;62,98
05/09/2024;63,14;63,22;62,44;62,55
04/09/2024;62,06;63,23;61,87;63,14
03/09/2024;61,6;62,25;61,08;62,14
02/09/2024;61,7;61,94;61,54;61,73
30/08/2024;60,98;61,69;60,74;61,69
29/08/2024;60,44;61,19;60,23;60,98
28/08/2024;60,39;60,49;60,18;60,44
27/08/2024;60,08;60,49;59,72;60,44
26/08/2024;60,13;60,3;59,88;60,08
23/08/2024;60,42;60,59;60,14;60,22
22/08/2024;60,27;60,49;60,04;60,47
21/08/2024;60,58;60,58;60,02;60,18
20/08/2024;60,18;60,59;59,89;60,46
19/08/2024;59,54;60,14;59,5;60,13
16/08/2024;60,29;60,29;59,32;59,55
15/08/2024;59,71;60,31;59,64;60,26
14/08/2024;59,94;60,16;59,67;59,71
13/08/2024;60,48;60,68;59,76;59,94
12/08/2024;60,22;60,49;59,49;60,46
09/08/2024;60,03;60,26;59,67;60,22
08/08/2024;60,1;61,06;59,93;60,08
07/08/2024;60,31;60,63;59,9;60,1
